"","OTU","Taxonomy"
"1","Otu0001","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;"
"2","Otu0002","Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;"
"3","Otu0003","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"4","Otu0004","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksellaceae_unclassified;"
"5","Otu0005","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;"
"6","Otu0006","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseriaceae_unclassified;"
"7","Otu0007","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacteriaceae_unclassified;"
"8","Otu0008","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"9","Otu0009","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;"
"10","Otu0010","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"11","Otu0011","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"12","Otu0012","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;"
"13","Otu0013","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"14","Otu0014","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;"
"15","Otu0015","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;"
"16","Otu0016","Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter;"
"17","Otu0017","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;"
"18","Otu0018","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;"
"19","Otu0019","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;"
"20","Otu0020","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;"
"21","Otu0021","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"22","Otu0022","Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;"
"23","Otu0023","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"24","Otu0024","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter;"
"25","Otu0025","Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;"
"26","Otu0026","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;"
"27","Otu0027","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"28","Otu0028","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;"
"29","Otu0029","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;"
"30","Otu0030","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;"
"31","Otu0031","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"
"32","Otu0032","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;"
"33","Otu0033","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;"
"34","Otu0034","Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Bordetella;"
