Day,Treatment,Genus,Percent abundance,
D21,BB,Terrisporobacter,1.22,
D21,BB,Enhydrobacter,1.12,
D21,BB,Other,16.00,
D21,Control,Moraxella,38.33,
D21,Control,Weeksellaceae_unclassified,11.88,
D21,Control,Streptococcus,10.51,
D21,Control,Carnobacteriaceae_unclassified,4.85,
D21,Control,Neisseriaceae_unclassified,4.35,
D21,Control,Actinobacillus,4.16,
D21,Control,Prevotella_9,3.61,
D21,Control,Prevotellaceae_NK3B31_group,2.05,
D21,Control,Chryseobacterium,1.63,
D21,Control,Clostridium_sensu_stricto_1,1.42,
D21,Control,Lactobacillus,1.19,
D21,Control,Terrisporobacter,1.02,
D21,Control,Other,15.00,
D28,BB,Moraxella,33.60,
D28,BB,Streptococcus,10.66,
D28,BB,Weeksellaceae_unclassified,9.27,
D28,BB,Prevotellaceae_NK3B31_group,7.29,
D28,BB,Prevotella_9,6.76,
D28,BB,Carnobacteriaceae_unclassified,4.40,
D28,BB,Neisseriaceae_unclassified,4.02,
D28,BB,Actinobacillus,3.43,
D28,BB,Prevotellaceae_unclassified,1.47,
D28,BB,Alloprevotella,1.34,
D28,BB,Lactobacillus,1.29,
D28,BB,Clostridium_sensu_stricto_1,1.24,
D28,BB,Phascolarctobacterium,1.02,
D28,BB,Lachnospiraceae_unclassified,1.01,
D28,BB,Other,13.20,
D28,Control,Moraxella,28.32,
D28,Control,Streptococcus,11.57,
D28,Control,Prevotellaceae_NK3B31_group,10.89,
D28,Control,Weeksellaceae_unclassified,9.04,
D28,Control,Neisseriaceae_unclassified,4.82,
D28,Control,Carnobacteriaceae_unclassified,3.34,
D28,Control,Prevotella_9,2.61,
D28,Control,Treponema_2,2.39,
D28,Control,Actinobacillus,2.29,
D28,Control,Empedobacter,2.24,
D28,Control,Prevotellaceae_unclassified,2.03,
D28,Control,Phascolarctobacterium,1.44,
D28,Control,Alloprevotella,1.43,
D28,Control,Clostridium_sensu_stricto_1,1.26,
D28,Control,Lactobacillus,1.08,
D28,Control,Lachnospiraceae_unclassified,1.05,
D28,Control,Other,14.20,
D36,BB,Moraxella,32.64,
D36,BB,Weeksellaceae_unclassified,9.15,
D36,BB,Streptococcus,7.35,
D36,BB,Prevotella_9,4.72,
D36,BB,Neisseriaceae_unclassified,4.48,
D36,BB,Carnobacteriaceae_unclassified,4.23,
D36,BB,Lactobacillus,4.23,
D36,BB,Megasphaera,3.58,
D36,BB,Prevotellaceae_NK3B31_group,2.64,
D36,BB,Empedobacter,1.96,
D36,BB,Clostridium_sensu_stricto_1,1.77,
D36,BB,Chryseobacterium,1.56,
D36,BB,Actinobacillus,1.52,
D36,BB,Enhydrobacter,1.29,
D36,BB,Alloprevotella,1.18,
D36,BB,Rothia,1.13,
D36,BB,Prevotellaceae_unclassified,1.10,
D36,BB,Other,15.47,
D36,Control,Moraxella,35.49,
D36,Control,Weeksellaceae_unclassified,13.23,
D36,Control,Streptococcus,8.96,
D36,Control,Neisseriaceae_unclassified,5.36,
D36,Control,Carnobacteriaceae_unclassified,5.32,
D36,Control,Prevotellaceae_NK3B31_group,4.46,
D36,Control,Chryseobacterium,1.82,
D36,Control,Clostridium_sensu_stricto_1,1.79,
D36,Control,Prevotella_9,1.47,
D36,Control,Rothia,1.20,
D36,Control,Lactobacillus,1.17,
D36,Control,Aerococcus,1.07,
D36,Control,Ruminococcaceae_UCG-005,1.04,
D36,Control,Other,17.62,
D42,BB,Moraxella,18.44,
D42,BB,Streptococcus,9.13,
D42,BB,Prevotellaceae_NK3B31_group,8.26,
D42,BB,Actinobacillus,6.18,
D42,BB,Lactobacillus,4.83,
D42,BB,Weeksellaceae_unclassified,4.30,
D42,BB,Neisseriaceae_unclassified,3.32,
D42,BB,Treponema_2,3.14,
