,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,newp,Treatment,OTU,comp,Family_Genus
Otu00173,448.0152415,0.593866914,0.13476461,4.40669784,1.05E-05,6.56E-05,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,0.00E+00,BB,Otu0017,D21_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu0017,237.6812282,-0.771568612,0.244934611,-3.150100382,0.001632144,0.01047731,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,1.00E-02,Control,Otu0017,D3_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu00171,133.9271881,-0.482724512,0.197473356,-2.444504519,0.014505126,0.044781971,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,4.50E-02,Control,Otu0017,D7_BBvsControl,Clostridiaceae_1 Clostridium_sensu_stricto_1
Otu00281,233.8009658,3.141008708,0.439709051,7.143379694,9.11E-13,1.63E-11,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0.00E+00,BB,Otu0028,D14_BBvsControl,Moraxellaceae Enhydrobacter
Otu0028,13.00086991,2.219060918,0.737746335,3.007891482,0.002630671,0.015357305,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,1.50E-02,BB,Otu0028,D3_BBvsControl,Moraxellaceae Enhydrobacter
Otu00282,171.7781078,3.097389557,0.690185228,4.487765651,7.20E-06,4.57E-05,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0.00E+00,BB,Otu0028,D36_BBvsControl,Moraxellaceae Enhydrobacter
Otu0036,61.13152095,2.776790462,0.637572856,4.355252012,1.33E-05,0.000199371,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,0.00E+00,BB,Otu0036,D1_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu00361,162.517654,2.523925548,0.670208524,3.765880999,0.000165963,0.001942741,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,2.00E-03,BB,Otu0036,D3_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu00363,35.75295876,1.476865434,0.603493197,2.447194833,0.014397299,0.046791221,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,4.70E-02,BB,Otu0036,D36_BBvsControl,Enterobacteriaceae Escherichia-Shigella
Otu00362,63.41984121,3.043207854,0.701587005,4.337605789,1.44E-05,0.000147432,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,0.00E+00,BB,Otu0036,D7_BBvsControl,Enterobacteriaceae Escherichia-Shigella
