"","group","Pig","Tissue","Day","Treatment","Genus","value","All","value2"
"1513","SRD129_P171_N_D10",171,"N","D10","Control","Prevotellaceae_NK3B31_group",0.00250125062531266,"D10_Control",0.0250125062531266
"1514","SRD129_P171_N_D14",171,"N","D14","Control","Prevotellaceae_NK3B31_group",0.0220440881763527,"D14_Control",0.220440881763527
"1515","SRD129_P171_N_D21",171,"N","D21","Control","Prevotellaceae_NK3B31_group",0.018018018018018,"D21_Control",0.18018018018018
"1516","SRD129_P171_N_D28",171,"N","D28","Control","Prevotellaceae_NK3B31_group",0.0991487230846269,"D28_Control",2.47871807711567
"1517","SRD129_P171_N_D3",171,"N","D3","Control","Prevotellaceae_NK3B31_group",0.0080040020010005,"D3_Control",0.080040020010005
"1518","SRD129_P171_N_D36",171,"N","D36","Control","Prevotellaceae_NK3B31_group",0.0631895687061184,"D36_Control",0.631895687061184
"1519","SRD129_P171_N_D42",171,"N","D42","Control","Prevotellaceae_NK3B31_group",0.178571428571429,"D42_Control",1.78571428571429
"1520","SRD129_P171_N_D7",171,"N","D7","Control","Prevotellaceae_NK3B31_group",0.00200702458605118,"D7_Control",0.0200702458605118
"1521","SRD129_P132_N_D0",132,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1522","SRD129_P132_N_D10",132,"N","D10","BB","Chryseobacterium",0.00300150075037519,"D10_BB",0.0300150075037519
"1523","SRD129_P132_N_D14",132,"N","D14","BB","Chryseobacterium",0.0180090045022511,"D14_BB",0.180090045022511
"1524","SRD129_P132_N_D21",132,"N","D21","BB","Chryseobacterium",0.0320480721081622,"D21_BB",0.320480721081622
"1525","SRD129_P132_N_D28",132,"N","D28","BB","Chryseobacterium",0.00150225338007011,"D28_BB",0.0150225338007011
"1526","SRD129_P132_N_D3",132,"N","D3","BB","Chryseobacterium",0.00200100050025012,"D3_BB",0.0222333388916681
"1527","SRD129_P132_N_D36",132,"N","D36","BB","Chryseobacterium",0.0135135135135135,"D36_BB",0.135135135135135
"1528","SRD129_P132_N_D42",132,"N","D42","BB","Chryseobacterium",0.00652282990466633,"D42_BB",0.0652282990466633
"1529","SRD129_P132_N_D7",132,"N","D7","BB","Chryseobacterium",0.003003003003003,"D7_BB",0.0375375375375375
"1530","SRD129_P133_N_D0",133,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1531","SRD129_P133_N_D1",133,"N","D1","BB","Chryseobacterium",0,"D1_BB",0
"1532","SRD129_P133_N_D10",133,"N","D10","BB","Chryseobacterium",0.0260782347041123,"D10_BB",0.260782347041123
"1533","SRD129_P133_N_D14",133,"N","D14","BB","Chryseobacterium",0.00100050025012506,"D14_BB",0.0100050025012506
"1534","SRD129_P133_N_D21",133,"N","D21","BB","Chryseobacterium",0.0426065162907268,"D21_BB",0.426065162907268
"1535","SRD129_P133_N_D28",133,"N","D28","BB","Chryseobacterium",0.001001001001001,"D28_BB",0.01001001001001
"1536","SRD129_P133_N_D3",133,"N","D3","BB","Chryseobacterium",0,"D3_BB",0
"1537","SRD129_P133_N_D36",133,"N","D36","BB","Chryseobacterium",0.00500250125062531,"D36_BB",0.0500250125062531
"1538","SRD129_P133_N_D42",133,"N","D42","BB","Chryseobacterium",0.0040281973816717,"D42_BB",0.040281973816717
"1539","SRD129_P134_N_D0",134,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1540","SRD129_P134_N_D1",134,"N","D1","BB","Chryseobacterium",0.00100050025012506,"D1_BB",0.011116669445834
"1541","SRD129_P134_N_D10",134,"N","D10","BB","Chryseobacterium",0.00200300450676014,"D10_BB",0.0200300450676014
"1542","SRD129_P134_N_D14",134,"N","D14","BB","Chryseobacterium",0.0375563345017526,"D14_BB",0.375563345017526
"1543","SRD129_P134_N_D21",134,"N","D21","BB","Chryseobacterium",0.0130456598093327,"D21_BB",0.130456598093327
"1544","SRD129_P134_N_D28",134,"N","D28","BB","Chryseobacterium",0.00100050025012506,"D28_BB",0.0100050025012506
"1545","SRD129_P134_N_D3",134,"N","D3","BB","Chryseobacterium",0,"D3_BB",0
"1546","SRD129_P134_N_D36",134,"N","D36","BB","Chryseobacterium",0.0115057528764382,"D36_BB",0.115057528764382
"1547","SRD129_P134_N_D42",134,"N","D42","BB","Chryseobacterium",0,"D42_BB",0
"1548","SRD129_P135_N_D0",135,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1549","SRD129_P135_N_D1",135,"N","D1","BB","Chryseobacterium",0,"D1_BB",0
"1550","SRD129_P135_N_D10",135,"N","D10","BB","Chryseobacterium",0.00901352028042063,"D10_BB",0.0901352028042063
"1551","SRD129_P135_N_D14",135,"N","D14","BB","Chryseobacterium",0.0200100050025013,"D14_BB",0.200100050025012
"1552","SRD129_P135_N_D21",135,"N","D21","BB","Chryseobacterium",0.00250125062531266,"D21_BB",0.0250125062531266
"1553","SRD129_P135_N_D28",135,"N","D28","BB","Chryseobacterium",0.00300150075037519,"D28_BB",0.0300150075037519
"1554","SRD129_P135_N_D3",135,"N","D3","BB","Chryseobacterium",0.001001001001001,"D3_BB",0.0111222333444556
"1555","SRD129_P135_N_D36",135,"N","D36","BB","Chryseobacterium",0.00200501253132832,"D36_BB",0.0200501253132832
"1556","SRD129_P135_N_D42",135,"N","D42","BB","Chryseobacterium",0.00150300601202405,"D42_BB",0.0150300601202405
"1557","SRD129_P135_N_D7",135,"N","D7","BB","Chryseobacterium",0.0045,"D7_BB",0.05625
"1558","SRD129_P136_N_D0",136,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1559","SRD129_P136_N_D1",136,"N","D1","BB","Chryseobacterium",0,"D1_BB",0
"1560","SRD129_P136_N_D10",136,"N","D10","BB","Chryseobacterium",0.0145072536268134,"D10_BB",0.145072536268134
"1561","SRD129_P136_N_D14",136,"N","D14","BB","Chryseobacterium",0.0130065032516258,"D14_BB",0.130065032516258
"1562","SRD129_P136_N_D21",136,"N","D21","BB","Chryseobacterium",0.014521782674011,"D21_BB",0.14521782674011
"1563","SRD129_P136_N_D28",136,"N","D28","BB","Chryseobacterium",0.000500751126690035,"D28_BB",0.00500751126690035
"1564","SRD129_P136_N_D3",136,"N","D3","BB","Chryseobacterium",0.00100250626566416,"D3_BB",0.0111389585073796
"1565","SRD129_P136_N_D36",136,"N","D36","BB","Chryseobacterium",0.00350525788683025,"D36_BB",0.0350525788683025
"1566","SRD129_P136_N_D42",136,"N","D42","BB","Chryseobacterium",0.000501002004008016,"D42_BB",0.00501002004008016
"1567","SRD129_P136_N_D7",136,"N","D7","BB","Chryseobacterium",0.00600901352028042,"D7_BB",0.0751126690035053
"1568","SRD129_P137_N_D0",137,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1569","SRD129_P137_N_D1",137,"N","D1","BB","Chryseobacterium",0,"D1_BB",0
"1570","SRD129_P137_N_D10",137,"N","D10","BB","Chryseobacterium",0.003,"D10_BB",0.03
"1571","SRD129_P137_N_D14",137,"N","D14","BB","Chryseobacterium",0.0675337668834417,"D14_BB",0.675337668834417
"1572","SRD129_P137_N_D21",137,"N","D21","BB","Chryseobacterium",0.043064596895343,"D21_BB",0.43064596895343
"1573","SRD129_P137_N_D28",137,"N","D28","BB","Chryseobacterium",0.000500250125062531,"D28_BB",0.00500250125062531
"1574","SRD129_P137_N_D3",137,"N","D3","BB","Chryseobacterium",0,"D3_BB",0
"1575","SRD129_P137_N_D36",137,"N","D36","BB","Chryseobacterium",0.019019019019019,"D36_BB",0.19019019019019
"1576","SRD129_P137_N_D42",137,"N","D42","BB","Chryseobacterium",0,"D42_BB",0
"1577","SRD129_P137_N_D7",137,"N","D7","BB","Chryseobacterium",0.00100050025012506,"D7_BB",0.0125062531265633
"1578","SRD129_P138_N_D0",138,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1579","SRD129_P138_N_D1",138,"N","D1","BB","Chryseobacterium",0.001001001001001,"D1_BB",0.0111222333444556
"1580","SRD129_P138_N_D10",138,"N","D10","BB","Chryseobacterium",0.016,"D10_BB",0.16
"1581","SRD129_P138_N_D14",138,"N","D14","BB","Chryseobacterium",0.0395,"D14_BB",0.395
"1582","SRD129_P138_N_D21",138,"N","D21","BB","Chryseobacterium",0.0200601805416249,"D21_BB",0.200601805416249
"1583","SRD129_P138_N_D28",138,"N","D28","BB","Chryseobacterium",5e-04,"D28_BB",0.005
"1584","SRD129_P138_N_D36",138,"N","D36","BB","Chryseobacterium",0.00650325162581291,"D36_BB",0.0650325162581291
"1585","SRD129_P138_N_D42",138,"N","D42","BB","Chryseobacterium",0.001001001001001,"D42_BB",0.01001001001001
"1586","SRD129_P138_N_D7",138,"N","D7","BB","Chryseobacterium",0.00151209677419355,"D7_BB",0.0189012096774194
"1587","SRD129_P139_N_D0",139,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1588","SRD129_P139_N_D1",139,"N","D1","BB","Chryseobacterium",0,"D1_BB",0
"1589","SRD129_P139_N_D10",139,"N","D10","BB","Chryseobacterium",0.0145145145145145,"D10_BB",0.145145145145145
"1590","SRD129_P139_N_D14",139,"N","D14","BB","Chryseobacterium",0.0620620620620621,"D14_BB",0.620620620620621
"1591","SRD129_P139_N_D21",139,"N","D21","BB","Chryseobacterium",0.0385578367551327,"D21_BB",0.385578367551327
"1592","SRD129_P139_N_D28",139,"N","D28","BB","Chryseobacterium",0.001001001001001,"D28_BB",0.01001001001001
"1593","SRD129_P139_N_D3",139,"N","D3","BB","Chryseobacterium",0.0045,"D3_BB",0.05
"1594","SRD129_P139_N_D36",139,"N","D36","BB","Chryseobacterium",0.0145290581162325,"D36_BB",0.145290581162325
"1595","SRD129_P139_N_D42",139,"N","D42","BB","Chryseobacterium",0,"D42_BB",0
"1596","SRD129_P139_N_D7",139,"N","D7","BB","Chryseobacterium",5e-04,"D7_BB",0.00625
"1597","SRD129_P140_N_D0",140,"N","D0","BB","Chryseobacterium",0.000500250125062531,"D0_BB",0.00500250125062531
"1598","SRD129_P140_N_D1",140,"N","D1","BB","Chryseobacterium",0,"D1_BB",0
"1599","SRD129_P140_N_D10",140,"N","D10","BB","Chryseobacterium",0.00550275137568784,"D10_BB",0.0550275137568784
"1600","SRD129_P140_N_D14",140,"N","D14","BB","Chryseobacterium",0.024024024024024,"D14_BB",0.24024024024024
"1601","SRD129_P140_N_D21",140,"N","D21","BB","Chryseobacterium",0.0105315947843531,"D21_BB",0.105315947843531
"1602","SRD129_P140_N_D28",140,"N","D28","BB","Chryseobacterium",0.00150300601202405,"D28_BB",0.0150300601202405
"1603","SRD129_P140_N_D3",140,"N","D3","BB","Chryseobacterium",0,"D3_BB",0
"1604","SRD129_P140_N_D36",140,"N","D36","BB","Chryseobacterium",0.0260782347041123,"D36_BB",0.260782347041123
"1605","SRD129_P140_N_D42",140,"N","D42","BB","Chryseobacterium",0.00252525252525253,"D42_BB",0.0252525252525253
"1606","SRD129_P140_N_D7",140,"N","D7","BB","Chryseobacterium",0.02,"D7_BB",0.25
"1607","SRD129_P141_N_D0",141,"N","D0","BB","Chryseobacterium",0,"D0_BB",0
"1608","SRD129_P141_N_D1",141,"N","D1","BB","Chryseobacterium",5e-04,"D1_BB",0.00555555555555556
"1609","SRD129_P141_N_D10",141,"N","D10","BB","Chryseobacterium",0.0055,"D10_BB",0.055
"1610","SRD129_P141_N_D14",141,"N","D14","BB","Chryseobacterium",0.0135,"D14_BB",0.135
"1611","SRD129_P141_N_D21",141,"N","D21","BB","Chryseobacterium",0.115847542627884,"D21_BB",1.15847542627884
"1612","SRD129_P141_N_D28",141,"N","D28","BB","Chryseobacterium",0.00350175087543772,"D28_BB",0.0350175087543772
"1613","SRD129_P141_N_D3",141,"N","D3","BB","Chryseobacterium",0.00100050025012506,"D3_BB",0.011116669445834
"1614","SRD129_P141_N_D36",141,"N","D36","BB","Chryseobacterium",0.0491474423269809,"D36_BB",0.491474423269809
"1615","SRD129_P141_N_D42",141,"N","D42","BB","Chryseobacterium",0,"D42_BB",0
"1616","SRD129_P141_N_D7",141,"N","D7","BB","Chryseobacterium",0.00501002004008016,"D7_BB",0.062625250501002
"1617","SRD129_P162_N_D0",162,"N","D0","Control","Chryseobacterium",0,"D0_Control",0
"1618","SRD129_P162_N_D1",162,"N","D1","Control","Chryseobacterium",0,"D1_Control",0
"1619","SRD129_P162_N_D10",162,"N","D10","Control","Chryseobacterium",0.00250125062531266,"D10_Control",0.0250125062531266
"1620","SRD129_P162_N_D14",162,"N","D14","Control","Chryseobacterium",0.002002002002002,"D14_Control",0.02002002002002
"1621","SRD129_P162_N_D21",162,"N","D21","Control","Chryseobacterium",0.00050125313283208,"D21_Control",0.0050125313283208
"1622","SRD129_P162_N_D28",162,"N","D28","Control","Chryseobacterium",0.001001001001001,"D28_Control",0.025025025025025
"1623","SRD129_P162_N_D3",162,"N","D3","Control","Chryseobacterium",0,"D3_Control",0
"1624","SRD129_P162_N_D36",162,"N","D36","Control","Chryseobacterium",0.0115461847389558,"D36_Control",0.115461847389558
"1625","SRD129_P162_N_D42",162,"N","D42","Control","Chryseobacterium",0,"D42_Control",0
"1626","SRD129_P162_N_D7",162,"N","D7","Control","Chryseobacterium",0,"D7_Control",0
"1627","SRD129_P163_N_D0",163,"N","D0","Control","Chryseobacterium",0.00150905432595573,"D0_Control",0.0150905432595573
"1628","SRD129_P163_N_D1",163,"N","D1","Control","Chryseobacterium",0,"D1_Control",0
"1629","SRD129_P163_N_D10",163,"N","D10","Control","Chryseobacterium",0.00150225338007011,"D10_Control",0.0150225338007011
"1630","SRD129_P163_N_D14",163,"N","D14","Control","Chryseobacterium",0.000500751126690035,"D14_Control",0.00500751126690035
"1631","SRD129_P163_N_D21",163,"N","D21","Control","Chryseobacterium",0.0120180270405608,"D21_Control",0.120180270405608
"1632","SRD129_P163_N_D3",163,"N","D3","Control","Chryseobacterium",0,"D3_Control",0
"1633","SRD129_P163_N_D36",163,"N","D36","Control","Chryseobacterium",0.00200300450676014,"D36_Control",0.0200300450676014
"1634","SRD129_P163_N_D42",163,"N","D42","Control","Chryseobacterium",0,"D42_Control",0
"1635","SRD129_P163_N_D7",163,"N","D7","Control","Chryseobacterium",0,"D7_Control",0
"1636","SRD129_P164_N_D0",164,"N","D0","Control","Chryseobacterium",0,"D0_Control",0
"1637","SRD129_P164_N_D1",164,"N","D1","Control","Chryseobacterium",0,"D1_Control",0
"1638","SRD129_P164_N_D10",164,"N","D10","Control","Chryseobacterium",0.000501002004008016,"D10_Control",0.00501002004008016
"1639","SRD129_P164_N_D14",164,"N","D14","Control","Chryseobacterium",0.00150075037518759,"D14_Control",0.0150075037518759
"1640","SRD129_P164_N_D21",164,"N","D21","Control","Chryseobacterium",0.0220110055027514,"D21_Control",0.220110055027514
"1641","SRD129_P164_N_D3",164,"N","D3","Control","Chryseobacterium",0.00200100050025012,"D3_Control",0.0200100050025013
"1642","SRD129_P164_N_D36",164,"N","D36","Control","Chryseobacterium",0.00150075037518759,"D36_Control",0.0150075037518759
"1643","SRD129_P164_N_D42",164,"N","D42","Control","Chryseobacterium",0.0270405608412619,"D42_Control",0.270405608412619
"1644","SRD129_P164_N_D7",164,"N","D7","Control","Chryseobacterium",0.00450225112556278,"D7_Control",0.0450225112556278
"1645","SRD129_P165_N_D0",165,"N","D0","Control","Chryseobacterium",0,"D0_Control",0
"1646","SRD129_P165_N_D1",165,"N","D1","Control","Chryseobacterium",0,"D1_Control",0
"1647","SRD129_P165_N_D10",165,"N","D10","Control","Chryseobacterium",0.00651629072681704,"D10_Control",0.0651629072681704
"1648","SRD129_P165_N_D14",165,"N","D14","Control","Chryseobacterium",0.00100050025012506,"D14_Control",0.0100050025012506
"1649","SRD129_P165_N_D21",165,"N","D21","Control","Chryseobacterium",0.0630315157578789,"D21_Control",0.630315157578789
"1650","SRD129_P165_N_D3",165,"N","D3","Control","Chryseobacterium",0,"D3_Control",0
"1651","SRD129_P165_N_D36",165,"N","D36","Control","Chryseobacterium",0.0015,"D36_Control",0.015
"1652","SRD129_P165_N_D42",165,"N","D42","Control","Chryseobacterium",0,"D42_Control",0
"1653","SRD129_P165_N_D7",165,"N","D7","Control","Chryseobacterium",0.0015,"D7_Control",0.015
"1654","SRD129_P166_N_D0",166,"N","D0","Control","Chryseobacterium",0.00100200400801603,"D0_Control",0.0100200400801603
"1655","SRD129_P166_N_D1",166,"N","D1","Control","Chryseobacterium",0,"D1_Control",0
"1656","SRD129_P166_N_D10",166,"N","D10","Control","Chryseobacterium",0.005,"D10_Control",0.05
"1657","SRD129_P166_N_D14",166,"N","D14","Control","Chryseobacterium",0.0005005005005005,"D14_Control",0.005005005005005
"1658","SRD129_P166_N_D21",166,"N","D21","Control","Chryseobacterium",0.003,"D21_Control",0.03
"1659","SRD129_P166_N_D3",166,"N","D3","Control","Chryseobacterium",5e-04,"D3_Control",0.005
"1660","SRD129_P166_N_D36",166,"N","D36","Control","Chryseobacterium",0.001001001001001,"D36_Control",0.01001001001001
"1661","SRD129_P166_N_D42",166,"N","D42","Control","Chryseobacterium",0,"D42_Control",0
"1662","SRD129_P166_N_D7",166,"N","D7","Control","Chryseobacterium",0.00800800800800801,"D7_Control",0.0800800800800801
"1663","SRD129_P167_N_D0",167,"N","D0","Control","Chryseobacterium",5e-04,"D0_Control",0.005
"1664","SRD129_P167_N_D1",167,"N","D1","Control","Chryseobacterium",0.00200100050025012,"D1_Control",0.0200100050025013
"1665","SRD129_P167_N_D10",167,"N","D10","Control","Chryseobacterium",0.0125,"D10_Control",0.125
"1666","SRD129_P167_N_D14",167,"N","D14","Control","Chryseobacterium",0.000501504513540622,"D14_Control",0.00501504513540622
"1667","SRD129_P167_N_D21",167,"N","D21","Control","Chryseobacterium",0.00400200100050025,"D21_Control",0.0400200100050025
"1668","SRD129_P167_N_D3",167,"N","D3","Control","Chryseobacterium",0,"D3_Control",0
"1669","SRD129_P167_N_D36",167,"N","D36","Control","Chryseobacterium",0.0015,"D36_Control",0.015
"1670","SRD129_P167_N_D42",167,"N","D42","Control","Chryseobacterium",0,"D42_Control",0
"1671","SRD129_P167_N_D7",167,"N","D7","Control","Chryseobacterium",0.00350175087543772,"D7_Control",0.0350175087543772
"1672","SRD129_P168_N_D0",168,"N","D0","Control","Chryseobacterium",0.00100452034153692,"D0_Control",0.0100452034153692
"1673","SRD129_P168_N_D1",168,"N","D1","Control","Chryseobacterium",0.00200501253132832,"D1_Control",0.0200501253132832
"1674","SRD129_P168_N_D10",168,"N","D10","Control","Chryseobacterium",0.0025025025025025,"D10_Control",0.025025025025025
"1675","SRD129_P168_N_D14",168,"N","D14","Control","Chryseobacterium",0.001001001001001,"D14_Control",0.01001001001001
"1676","SRD129_P168_N_D21",168,"N","D21","Control","Chryseobacterium",0.0205410821643287,"D21_Control",0.205410821643287
"1677","SRD129_P168_N_D3",168,"N","D3","Control","Chryseobacterium",0,"D3_Control",0
"1678","SRD129_P168_N_D36",168,"N","D36","Control","Chryseobacterium",0.0642247867536377,"D36_Control",0.642247867536377
"1679","SRD129_P168_N_D42",168,"N","D42","Control","Chryseobacterium",0.000502765208647562,"D42_Control",0.00502765208647562
"1680","SRD129_P168_N_D7",168,"N","D7","Control","Chryseobacterium",0.0761141712568853,"D7_Control",0.761141712568853
"1681","SRD129_P169_N_D0",169,"N","D0","Control","Chryseobacterium",0,"D0_Control",0
"1682","SRD129_P169_N_D1",169,"N","D1","Control","Chryseobacterium",5e-04,"D1_Control",0.005
"1683","SRD129_P169_N_D10",169,"N","D10","Control","Chryseobacterium",0.00350175087543772,"D10_Control",0.0350175087543772
"1684","SRD129_P169_N_D14",169,"N","D14","Control","Chryseobacterium",0,"D14_Control",0
"1685","SRD129_P169_N_D21",169,"N","D21","Control","Chryseobacterium",0.0165247871807712,"D21_Control",0.165247871807712
"1686","SRD129_P169_N_D28",169,"N","D28","Control","Chryseobacterium",0.00300450676014021,"D28_Control",0.0751126690035053
"1687","SRD129_P169_N_D3",169,"N","D3","Control","Chryseobacterium",5e-04,"D3_Control",0.005
"1688","SRD129_P169_N_D36",169,"N","D36","Control","Chryseobacterium",0.0135202804206309,"D36_Control",0.135202804206309
"1689","SRD129_P169_N_D42",169,"N","D42","Control","Chryseobacterium",0,"D42_Control",0
"1690","SRD129_P169_N_D7",169,"N","D7","Control","Chryseobacterium",0.004,"D7_Control",0.04
"1691","SRD129_P170_N_D0",170,"N","D0","Control","Chryseobacterium",0,"D0_Control",0
"1692","SRD129_P170_N_D1",170,"N","D1","Control","Chryseobacterium",0.004004004004004,"D1_Control",0.04004004004004
"1693","SRD129_P170_N_D10",170,"N","D10","Control","Chryseobacterium",0.0015,"D10_Control",0.015
"1694","SRD129_P170_N_D14",170,"N","D14","Control","Chryseobacterium",0.00200300450676014,"D14_Control",0.0200300450676014
"1695","SRD129_P170_N_D21",170,"N","D21","Control","Chryseobacterium",0.00650325162581291,"D21_Control",0.0650325162581291
"1696","SRD129_P170_N_D28",170,"N","D28","Control","Chryseobacterium",0.00850850850850851,"D28_Control",0.212712712712713
"1697","SRD129_P170_N_D3",170,"N","D3","Control","Chryseobacterium",0.00200300450676014,"D3_Control",0.0200300450676014
"1698","SRD129_P170_N_D36",170,"N","D36","Control","Chryseobacterium",0.0591182364729459,"D36_Control",0.591182364729459
"1699","SRD129_P170_N_D42",170,"N","D42","Control","Chryseobacterium",0.00150451354062187,"D42_Control",0.0150451354062187
"1700","SRD129_P170_N_D7",170,"N","D7","Control","Chryseobacterium",0.01001001001001,"D7_Control",0.1001001001001
"1701","SRD129_P171_N_D0",171,"N","D0","Control","Chryseobacterium",5e-04,"D0_Control",0.005
"1702","SRD129_P171_N_D1",171,"N","D1","Control","Chryseobacterium",0.000500250125062531,"D1_Control",0.00500250125062531
"1703","SRD129_P171_N_D10",171,"N","D10","Control","Chryseobacterium",0.0140070035017509,"D10_Control",0.140070035017509
"1704","SRD129_P171_N_D14",171,"N","D14","Control","Chryseobacterium",0.00250501002004008,"D14_Control",0.0250501002004008
"1705","SRD129_P171_N_D21",171,"N","D21","Control","Chryseobacterium",0.0125125125125125,"D21_Control",0.125125125125125
"1706","SRD129_P171_N_D28",171,"N","D28","Control","Chryseobacterium",0.00100150225338007,"D28_Control",0.0250375563345017
"1707","SRD129_P171_N_D3",171,"N","D3","Control","Chryseobacterium",0.00100050025012506,"D3_Control",0.0100050025012506
"1708","SRD129_P171_N_D36",171,"N","D36","Control","Chryseobacterium",0.0205616850551655,"D36_Control",0.205616850551655
"1709","SRD129_P171_N_D42",171,"N","D42","Control","Chryseobacterium",0.00402414486921529,"D42_Control",0.0402414486921529
"1710","SRD129_P171_N_D7",171,"N","D7","Control","Chryseobacterium",0.0140491721023583,"D7_Control",0.140491721023583
"1711","SRD129_P132_N_D0",132,"N","D0","BB","Lactobacillus",0.003,"D0_BB",0.03
"1712","SRD129_P132_N_D10",132,"N","D10","BB","Lactobacillus",0.00950475237618809,"D10_BB",0.095047523761881
"1713","SRD129_P132_N_D14",132,"N","D14","BB","Lactobacillus",0.00750375187593797,"D14_BB",0.0750375187593797
"1714","SRD129_P132_N_D21",132,"N","D21","BB","Lactobacillus",0.00801201802704056,"D21_BB",0.0801201802704056
"1715","SRD129_P132_N_D28",132,"N","D28","BB","Lactobacillus",0.0130195292939409,"D28_BB",0.130195292939409
"1716","SRD129_P132_N_D3",132,"N","D3","BB","Lactobacillus",0.0180090045022511,"D3_BB",0.200100050025012
"1717","SRD129_P132_N_D36",132,"N","D36","BB","Lactobacillus",0.0165165165165165,"D36_BB",0.165165165165165
"1718","SRD129_P132_N_D42",132,"N","D42","BB","Lactobacillus",0.0205720020070246,"D42_BB",0.205720020070246
"1719","SRD129_P132_N_D7",132,"N","D7","BB","Lactobacillus",0.005005005005005,"D7_BB",0.0625625625625626
"1720","SRD129_P133_N_D0",133,"N","D0","BB","Lactobacillus",0.003003003003003,"D0_BB",0.03003003003003
"1721","SRD129_P133_N_D1",133,"N","D1","BB","Lactobacillus",0.0015015015015015,"D1_BB",0.0166833500166834
"1722","SRD129_P133_N_D10",133,"N","D10","BB","Lactobacillus",0.0255767301905717,"D10_BB",0.255767301905717
"1723","SRD129_P133_N_D14",133,"N","D14","BB","Lactobacillus",0.00600300150075038,"D14_BB",0.0600300150075037
"1724","SRD129_P133_N_D21",133,"N","D21","BB","Lactobacillus",0.00601503759398496,"D21_BB",0.0601503759398496
"1725","SRD129_P133_N_D28",133,"N","D28","BB","Lactobacillus",0.01001001001001,"D28_BB",0.1001001001001
"1726","SRD129_P133_N_D3",133,"N","D3","BB","Lactobacillus",0.01001001001001,"D3_BB",0.111222333444556
"1727","SRD129_P133_N_D36",133,"N","D36","BB","Lactobacillus",0.0140070035017509,"D36_BB",0.140070035017509
"1728","SRD129_P133_N_D42",133,"N","D42","BB","Lactobacillus",0.0412890231621349,"D42_BB",0.412890231621349
"1729","SRD129_P134_N_D0",134,"N","D0","BB","Lactobacillus",0.00500751126690035,"D0_BB",0.0500751126690035
"1730","SRD129_P134_N_D1",134,"N","D1","BB","Lactobacillus",0.0080040020010005,"D1_BB",0.0889333555666722
"1731","SRD129_P134_N_D10",134,"N","D10","BB","Lactobacillus",0.00550826239359039,"D10_BB",0.0550826239359039
"1732","SRD129_P134_N_D14",134,"N","D14","BB","Lactobacillus",0.00650976464697046,"D14_BB",0.0650976464697045
"1733","SRD129_P134_N_D21",134,"N","D21","BB","Lactobacillus",0.00752634219769192,"D21_BB",0.0752634219769192
"1734","SRD129_P134_N_D28",134,"N","D28","BB","Lactobacillus",0.0180090045022511,"D28_BB",0.180090045022511
"1735","SRD129_P134_N_D3",134,"N","D3","BB","Lactobacillus",0.0175087543771886,"D3_BB",0.194541715302095
"1736","SRD129_P134_N_D36",134,"N","D36","BB","Lactobacillus",0.023511755877939,"D36_BB",0.23511755877939
"1737","SRD129_P134_N_D42",134,"N","D42","BB","Lactobacillus",0.00450225112556278,"D42_BB",0.0450225112556278
"1738","SRD129_P135_N_D0",135,"N","D0","BB","Lactobacillus",0.00200400801603206,"D0_BB",0.0200400801603206
"1739","SRD129_P135_N_D1",135,"N","D1","BB","Lactobacillus",0.0025,"D1_BB",0.0277777777777778
"1740","SRD129_P135_N_D10",135,"N","D10","BB","Lactobacillus",0.00600901352028042,"D10_BB",0.0600901352028042
"1741","SRD129_P135_N_D14",135,"N","D14","BB","Lactobacillus",0.00500250125062531,"D14_BB",0.0500250125062531
"1742","SRD129_P135_N_D21",135,"N","D21","BB","Lactobacillus",0.00200100050025012,"D21_BB",0.0200100050025013
"1743","SRD129_P135_N_D28",135,"N","D28","BB","Lactobacillus",0.00600300150075038,"D28_BB",0.0600300150075037
"1744","SRD129_P135_N_D3",135,"N","D3","BB","Lactobacillus",0.00900900900900901,"D3_BB",0.1001001001001
"1745","SRD129_P135_N_D36",135,"N","D36","BB","Lactobacillus",0.0340852130325815,"D36_BB",0.340852130325815
"1746","SRD129_P135_N_D42",135,"N","D42","BB","Lactobacillus",0.0235470941883768,"D42_BB",0.235470941883768
"1747","SRD129_P135_N_D7",135,"N","D7","BB","Lactobacillus",0.01,"D7_BB",0.125
"1748","SRD129_P136_N_D0",136,"N","D0","BB","Lactobacillus",5e-04,"D0_BB",0.005
"1749","SRD129_P136_N_D1",136,"N","D1","BB","Lactobacillus",0.00850425212606303,"D1_BB",0.0944916902895892
"1750","SRD129_P136_N_D10",136,"N","D10","BB","Lactobacillus",0.00900450225112556,"D10_BB",0.0900450225112556
"1751","SRD129_P136_N_D14",136,"N","D14","BB","Lactobacillus",0.0105052526263132,"D14_BB",0.105052526263132
"1752","SRD129_P136_N_D21",136,"N","D21","BB","Lactobacillus",0.00701051577366049,"D21_BB",0.0701051577366049
"1753","SRD129_P136_N_D28",136,"N","D28","BB","Lactobacillus",0.00801201802704056,"D28_BB",0.0801201802704056
