"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0154",14.5884735546789,1.0216189931097,0.33562761060364,3.04390628432589,0.00233527875168312,0.00867389250625159,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-008","9.0e-03","BB","Otu0154","D36_BBvsControl","Ruminococcaceae Ruminococcaceae_UCG-008"
"Otu01584",8.61519364113288,-1.22395739090979,0.390427956511591,-3.13491226869521,0.00171905513839557,0.00655533026108178,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group","7.0e-03","Control","Otu0158","D36_BBvsControl","Rikenellaceae dgA-11_gut_group"
"Otu01603",18.354819895223,2.95987548955164,0.454604527540317,6.51087991922637,7.47118523502006e-11,1.12460998800828e-09,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","0.0e+00","BB","Otu0160","D36_BBvsControl","Campylobacteraceae Campylobacter"
"Otu01611",3.60538917674242,4.41395318702303,0.766250602647837,5.7604563986903,8.38867982927240e-09,7.99720810390635e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_ge","0.0e+00","BB","Otu0161","D36_BBvsControl","Family_XIII Family_XIII_ge"
"Otu01714",24.0888248867885,-3.52095528940001,0.326327532224221,-10.7896359997622,3.85312627178964e-27,2.75498528432959e-25,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","0.0e+00","Control","Otu0171","D36_BBvsControl","Bacteria_unclassified Bacteria_unclassified"
"Otu02004",7.17241586143941,-1.12551313367732,0.355334600242907,-3.16747407347305,0.00153769420527524,0.00602439099600983,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","6.0e-03","Control","Otu0200","D36_BBvsControl","Eggerthellaceae Enterorhabdus"
"Otu02062",97.1330684416397,3.01372900791264,0.82472040652607,3.65424328543927,0.00025794159972109,0.00120936553311855,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","1.0e-03","BB","Otu0206","D36_BBvsControl","Deinococcaceae Deinococcus"
"Otu02081",9.77435743735459,-2.55250138252708,0.623506654080347,-4.09378370835824,4.2439022465009e-05,0.000232748283073815,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_RF16_group","Bacteroidales_RF16_group_ge","0.0e+00","Control","Otu0208","D36_BBvsControl","Bacteroidales_RF16_group Bacteroidales_RF16_group_ge"
"Otu02093",17.0044161957468,2.77102632463288,0.465997627482132,5.94643869670587,2.74039097723412e-09,3.13500727795583e-08,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","0.0e+00","BB","Otu0209","D36_BBvsControl","Micrococcaceae Kocuria"
"Otu02114",6.89442988939716,3.30354639613526,0.536918886374763,6.15278486186351,7.61340527302674e-10,9.46710394819847e-09,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fournierella","0.0e+00","BB","Otu0211","D36_BBvsControl","Ruminococcaceae Fournierella"
"Otu0227",19.9209819351676,-0.82397522164336,0.338665945425912,-2.43300288314231,0.0149741816567286,0.0481192803800493,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010","4.8e-02","Control","Otu0227","D36_BBvsControl","Ruminococcaceae Ruminococcaceae_UCG-010"
"Otu02281",26.4337308359464,4.63503614111769,0.906925053782366,5.11071573311057,3.20940589478653e-07,2.62254310259699e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","0.0e+00","BB","Otu0228","D36_BBvsControl","Caulobacteraceae Brevundimonas"
"Otu02333",22.7345156522277,6.60849563022594,0.738791888081178,8.94500296611242,3.71939764550327e-19,1.32968465826742e-17,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified","0.0e+00","BB","Otu0233","D36_BBvsControl","Micrococcaceae Micrococcaceae_unclassified"
"Otu02362",16.4002966162173,-1.59357300854016,0.419309706492666,-3.80046773033152,0.000144423225556595,0.000712155905330796,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","1.0e-03","Control","Otu0236","D36_BBvsControl","Lachnospiraceae Roseburia"
